"corpus","preloaded/ententen21_tt31"
"subcorpus","-"
"concordance size","20"
"query","Query:[lc=""touch"" | lemma_lc=""touch""] within <doc (topic=""beauty & fashion"") />;Random sample:20"
"Reference","Left","KWIC","Right"
"beautycrew.com.au","yourself/PP  into/IN  your/PPZ  skin/NN  concern/NN  lane/NN  (/( and/CC  found/VVD  your/PPZ  foam/NN  fit/NN )/) ,/,  grabbing/VVG  a/DT  corresponding/JJ  toning/VVG  lotion/NN  (/( for/IN  a/DT  final/JJ"," touch/NN"," of/IN  non-irritating/JJ  freshness/NN )/)  will/MD  round/VV  out/RP  your/PPZ  routine/NN  perfectly/RB ./SENT </s><s> And/CC  with/IN  that/DT ,/,  your/PPZ  three-step/NN  cleanse/VV  is/VBZ"
"beautycrew.com.au","Siriano/NP  took/VVD  a/DT  unique/JJ  approach/NN ,/,  bringing/VVG  American/JJ  artist/NN  Ashley/NP  Longshore/NP  onto/IN  the/DT  runway/NN  to/TO  complete/VV  the/DT  finishing/VVG"," touches/NNS"," to/IN  her/PPZ  paintings/NNS  while/IN  the/DT  models/NNS  strode/VVD  down/RP  the/DT  catwalk/NN ./SENT </s><s> And/CC  the/DT  creativity/NN  did/VVD n''t/RB  stop/VV  there/RB !/SENT </s><s> In/IN  keeping/VVG  with/IN  the/DT  pop/JJ"
"graziadaily.co.uk","./SENT </s><s> Talk/VV  about/RB  versatile/JJ ./SENT </s><s> 5/CD  of/IN  10/CD </s><s> Fuel/VV  a/DT  passion/NN  for/IN  photography/NN  with/IN  this/DT  nifty/JJ  waterproof/JJ  GoPro/NP  camera/NN ./SENT </s><s> Boasting/VVG  a/DT"," touch/NN"," screen/NN  face/NN ,/,  live/JJ  streaming/VVG  ability/NN ,/,  new/JJ  HyperSmooth/NP  stabilisation/NN  that/WDT  works/VVZ  to/TO  produce/VV  clear/JJ  pictures/NNS ,/,  and/CC  a/DT"
"makeupandbeauty.com","IMBB/NP !/SENT </s><s> And/CC  millions/NNS  across/IN  the/DT  world/NN  are/VBP  IMBB/NP  followers/NNS ./SENT </s><s> Thank/VV  you/PP  Rati/NP  Mam/NP  for/IN  being/VBG  a/DT  beautiful/JJ  inspiration/NN ./SENT </s><s> You/PP  have/VHP"," touched/VVN"," our/PPZ  lives/NNS  and/CC  hearts/NNS ./SENT </s><s> So/RB  proud/JJ  for/IN  you/PP ,/, Sir/NP  and/CC  IMBB/NP  team/NN ./SENT </s><s> This/DT  seriously/RB  feels/VVZ  great/JJ ..../: </s><s> I/PP  mean/VVP  I/PP ''ve/VHP  literally/RB  seen/VVN  IMBB/NP"
"beautyheaven.co.nz","retailers/NNS  as/IN  we/PP  can/MD ,/,  so/RB  you/PP  can/MD  buy/VV  as/IN  you/PP  browse/VVP  and/CC ,/,  in/IN  the/DT  meantime/NN ,/,  if/IN  there/EX ''s/VBZ  anything/NN  you/PP ''re/VBP  hunting/VVG  down/RP ,/,  get/VV  in/IN"," touch/NN"," with/IN  us/PP ./SENT </s><s> That/DT ''s/VBZ  what/WP  we/PP ''re/VBP  here/RB  for/IN ./SENT </s><s> I/PP  hope/VVP  it/PP  helps/VVZ !/SENT  xx/NN </s><s> L''Occitane/NN  everything/NN  is/VBZ  lush/JJ !/SENT </s><s> I/PP  just/RB  saw/VVD  on/IN  the/DT  events/NNS  page/NN  that/IN/that"
"beautyheaven.co.nz","""/`` bits/NNS ""/''''  in/IN  eyes/NNS ,/,  on/IN  lashes/NNS  or/CC  lips/NNS ./SENT </s><s> They/PP  cost/VVD  more/JJR  because/IN  they/PP  are/VBP  a/DT  very/RB  high/JJ  quality/NN  so/RB  only/RB  use/VV  them/PP  for/IN  makeup/NN  and/CC  nail/VV"," touch/NN"," ups/NNS ./SENT </s><s> Buy/VV  proper/JJ  ear/NN  buds/NNS  for/IN  your/PPZ  ears/NNS !!!/SYM </s><s> Every/DT  make/VVP  up/RP  bag/NN  and/CC  taking/VVG  away/RP  -/:  the/DT  absolute/NN  must/MD  have/VH  travel/NN  companion/NN !!/SYM </s>"
"telegraph.co.uk","I/PP ''m/VBP  a/DT  horse/NN ""/'''' ?/SENT </s><s> Beckham''s/NPZ  performance/NN  at/IN  the/DT  press/NN  conference/NN  held/VVN  to/TO  announce/VV  her/PPZ  Ambassadorship/NN  certainly/RB  had/VHD  a/DT"," touch/NN"," of/IN  the/DT  Erin/NP  Brockovich-es/NP  to/IN  it/PP ./SENT </s><s> The/DT  woman/NN  who/WP  previously/RB  has/VHZ  only/RB  regularly/RB  dropped/VVN  into/IN  Manhattan/NP  to/TO  unveil/VV  her/PPZ"
"beautyheaven.co.nz","floral/JJ  perfumy/NN  smell/NN ,/,  and/CC  after/IN  application/NN  my/PPZ  skin/NN  feels/VVZ  soft/JJ  and/CC  nourished/VVN ./SENT </s><s> My/PPZ  skin/NN  now/RB  looks/VVZ  radient/NN  with/IN  a/DT"," touch/NN"," of/IN  a/DT  tan/JJ  glow/NN ,/,  and/CC  it/PP  doesnt/VVP  make/VV  me/PP  look/VV  orange/NN  or/CC  too/RB  dark/JJ ./SENT </s><s> Do/VV  a/DT  patch/NN  tast/NNS  first/JJ ,/,  because/IN  then/RB  you/PP  can/MD  build/VV  it/PP  up/RP  to/TO  see/VV  how/WRB"
"beautyheaven.co.nz","you/PP  can/MD  use/VV  it/PP  everyday/JJ  with/IN  ease/NN ,/,  knowing/VVG  that/IN/that  AMAZING/JJ  results/NNS  will/MD  soon/RB  follow/VV ./SENT </s><s> Not/RB  only/RB  does/VVZ  my/PPZ  skin/NN  feel/VVP  softer/JJR  to/IN  the/DT"," touch/NN",",/,  but/CC  it/PP  is/VBZ  a/DT  lot/NN  more/RBR  luminous/JJ  and/CC  radiant/JJ  looking/VVG ./SENT </s><s> I/PP  feel/VVP  that/IN/that  it/PP  delivers/VVZ  exactly/RB  what/WP  it/PP  promises/VVZ ,/,  my/PPZ  skin/NN  has/VHZ  only/RB"
"beautyheaven.co.nz","before/IN  but/CC  i/NP  was/VBD  very/RB  pleasantly/RB  surprised/VVN  by/IN  this/DT  one/CD ./SENT </s><s> I/PP  like/VVP  to/TO  do/VV  my/PPZ  makeup/NN  on/IN  the/DT  train/NN  to/TO  work/VV  in/IN  the/DT  morning/NN  and/CC"," touch/VV"," up/RP  after/IN  the/DT  gym/NN  so/IN  having/VHG  the/DT  sponge/NN  on/IN  the/DT  end/NN  is/VBZ  really/RB  helpful/JJ  and/CC  cuts/VVZ  down/RP  the/DT  amount/NN  of/IN  products/NNS  i/NNS  have/VHP  to/TO  carry/VV"
