"corpus","preloaded/ententen21_tt31"
"subcorpus","-"
"concordance size","20"
"query","Query:[lc=""touch"" | lemma_lc=""touch""] within <doc (topic=""sports"") />;Random sample:20"
"Reference","Left","KWIC","Right"
"thesportster.com","?/SENT </s><s> Unfortunately/RB ,/,  he/PP  let/VVP  drugs/NNS  and/CC  alcohol/NN  get/VVP  the/DT  best/JJS  of/IN  him/PP  and/CC  that/DT  is/VBZ  why/WRB  he/PP  secures/VVZ  the/DT  number/NN  19/CD  spot/NN  on/IN  this/DT  list/NN ./SENT </s><s>","Touching/VVG"," a/DT  child/NN  under/IN  the/DT  age/NN  of/IN  18/CD  is/VBZ  inexcusable/JJ  everywhere/RB  in/IN  the/DT  world/NN ./SENT </s><s> Somewhere/RB  down/RB  the/DT  line/NN ,/,  former/JJ  MLB/NP  outfielder/NN  Mel/NP"
"thefantasyfix.com","that/IN/that  just/RB  five/CD  seasons/NNS  ago/RB  at/IN  age/NN  25/CD  he/PP  was/VBD  averaging/VVG  10.1/CD  points/NNS ,/,  7.6/CD  rebounds/NNS  and/CC  1.7/CD  blocks/NNS !/SENT </s><s> The/DT  Fix/NP  guru/NN  Zack/NP  has/VHZ  also/RB"," touched/VVN"," on/IN  Adams''/NPZ  chances/NNS  of/IN  a/DT  breakout/NN  fantasy/NN  campaign/NN  so/IN  what/WP  more/JJR  endorsement/NN  do/VVP  you/PP  need/VVP  to/TO  add/VV  a/DT  kiwi/NN !?/SYM </s><s> Yes/UH ,/,  former/JJ  #/# 2/CD  pick/NN"
"fansnetwork.co.uk","anti-torture/NN  provisions/NNS  of/IN  the/DT  Geneva/NP  Convention/NP ,/,  such/JJ  was/VBD  the/DT  pain/NN  he/PP  inflicted/VVD  on/IN  the/DT  Blackpool/NP  defence/NN ./SENT </s><s> His/PPZ  first/JJ"," touch/NN"," was/VBD  sublime/JJ  and/CC  every/DT  time/NN  he/PP  got/VVD  the/DT  ball/NN  you/PP  knew/VVD  that/IN/that  something/NN  good/NN  was/VBD  about/RB  to/TO  happen/VV ./SENT </s><s> So/RB  it/PP  was/VBD  no/DT  surprise/NN  that/IN/that  it/PP"
"dukechronicle.com","the/DT  Seminoles/NP  two/CD  weeks/NNS  ago/RB ,/,  Givens/NP  made/VVD  several/JJ  game/NN  winning/VVG ,/,  explosive/JJ  plays/NNS ./SENT </s><s> Having/VHG  caught/VVN  a/DT  22/CD  yard/NN  pass/NN  for/IN  a/DT"," touch/NN"," down/RB  late/RB  in/IN  the/DT  second/JJ  quarter/NN ,/,  Givens/NP  secured/VVD  Wake/NP  Forest/NP  the/DT  lead/NN  at/IN  the/DT  half/NN ./SENT </s><s> And/CC  in/IN  the/DT  second/JJ  half/NN ,/,  Givens/NP  racked/VVD  up/RP"
"dukechronicle.com","for/IN  runner-up/NN  was/VBD  walk-on/NN  junior/JJ  Brennan/NP  Besser/NP ./SENT </s><s> And/CC  Allen/NP  got/VVD  the/DT  Cameron/NP  Crazies/NNS  fired/VVD  up/RP  with/IN  ""/`` Everytime/NP  We/PP"," Touch/NP",",/, ""/``  nearly/RB  knocking/VVG  over/IN  every/DT  computer/NN  on/IN  press/NN  row/NN ./SENT </s><s> ""/'''' I/PP  liked/VVD  the/DT  fact/NN  that/WDT  [/( Allen''s/NPZ ]/)  song/NN  was/VBD  really/RB  the/DT  song/NN  of/IN  our/PPZ"
"crossfit.com","goes/VVZ  off/RP ./SENT </s><s> Swim/NN  in/IN  as/RB  straight/JJ  a/DT  line/NN  as/IN  possible/JJ  by/IN  sighting/VVG  on/IN  the/DT  target/NN  buoy/VV  3rd/JJ  or/CC  5th/JJ  stroke/NN ./SENT </s><s> Swim/NN  till/IN  your/PPZ  fingers/NNS"," touch/VVP"," the/DT  ground/NN  and/CC  then/RB  get/VV  up/RP  gently/RB  and/CC  carefully/RB  to/TO  get/VV  your/PPZ  land/NN  legs/NNS  back/RB ./SENT </s><s> Once/RB  steady/JJ  on/IN  your/PPZ  feet/NNS ,/,  run/VVN  gently/RB  toward/IN  T1/NP"
"worldsoccertalk.com","again/RB  here/RB  –/:  that/DT  industry/NN  resulted/VVD  the/DT  set/NN  piece/NN  that/WDT  led/VVD  to/IN  the/DT  equalizer/NN ./SENT </s><s> Clint/NP  Dempsey/NP ,/,  5/CD :/:  Was/VBD  inventive/JJ  with/IN  the/DT  few/JJ"," touches/NNS"," he/PP  got/VVD ,/,  but/CC  never/RB  really/RB  found/VVD  the/DT  game/NN ./SENT </s><s> Jordan/NP  Morris/NP ,/,  6/CD :/:  Though/RB  there/EX  was/VBD  some/DT  concern/NN  about/IN  his/PPZ  playing/NN  in/IN  the/DT  heat/NN ,/,"
"forumblueandgold.com","by/IN  comparison/NN ./SENT </s><s> it/PP  would/MD  be/VB  disrespectful/JJ  at/IN  this/DT  time/NN  to/TO  say/VV  what/WP  is/VBZ  to/TO  come/VV  of/IN  the/DT  lakers/NNS  once/IN  the/DT  man/NN  with/IN  the/DT  midas/NNS"," touch/NN"," is/VBZ  gone/VVN ./SENT  for/IN  over/IN  three/CD  decades/NNS ,/,  as/IN  owner/NN ,/,  as/IN  figurehead/NN  and/CC  as/IN  dad/NN  he/PP  was/VBD  blessed/VVN  in/IN  so/RB  many/JJ  ways/NNS  and/CC  laker/NN  following/NN  was/VBD"
"footballnewscentral.com","to/IN  victory/NN  at/IN  the/DT  Emirates/NP  Stadium/NP ./SENT </s><s> A/DT  slow/JJ  start/NN  from/IN  Arsenal/NP  brought/VVD  very/RB  few/JJ  chances/NNS ,/,  with/IN  Mohamed/NP  Elneny''s/NPZ  first/JJ"," touch/NN"," from/IN  twelve/NN  yards/NNS  escaping/VVG  him/PP  in/IN  their/PPZ  first/JJ  sight/NN  of/IN  goal/NN  with/IN  over/RB  20/CD  minutes/NNS  already/RB  played/VVN ./SENT </s><s> The/DT  home/NN  side/NN  continued/VVD"
"brenv.net","Underrated/VVN  Offensive/NN  Weapons/NNS </s><s> Kim/NP  Klement-USA/NP  TODAY/NN  Sports/NP  LSU''s/NPZ  Travin/NP  Dural/NN  hits/VVZ  a/DT  home/NN  run/VVN  seemingly/RB  every/DT  time/NN  he/PP"," touches/VVZ"," the/DT  ball/NN ,/,  but/CC  his/PPZ  low/JJ  reception/NN  totals/NNS  keep/VVP  him/PP  out/RP  of/IN  the/DT  conversation/NN  of/IN  the/DT  SEC''s/NPZ  best/JJS  offensive/JJ  weapons/NNS ,/,  though/IN  he/PP"
